niveau1,vondstnummer
Food Processing & Consumption,NZD1.00029CER148
Food Processing & Consumption,NZD1.00029CER149
Food Processing & Consumption,NZD1.00029CER150
Food Processing & Consumption,NZD1.00029CER151
Food Processing & Consumption,NZD1.00029CER152
Food Processing & Consumption,NZD1.00029CER156
Food Processing & Consumption,NZD1.00029CER157
Food Processing & Consumption,NZD1.00029CER161
Food Processing & Consumption,NZD1.00029CER162
Food Processing & Consumption,NZD1.00029CER163
Food Processing & Consumption,NZD1.00029CER165
Interiors & Accessories,NZD1.00029GLS009
Personal Artefacts & Clothing,NZD1.00029HT006
Personal Artefacts & Clothing,NZD1.00029LEE005
Personal Artefacts & Clothing,NZD1.00029LEE012
Personal Artefacts & Clothing,NZD1.00029LEE013
Distribution & Transport,NZD1.00029MTL004
Distribution & Transport,NZD1.00029MTL008
Distribution & Transport,NZD1.00029MTL009
Distribution & Transport,NZD1.00029MTL015
Buildings & Structures,NZD1.00029STN002
Interiors & Accessories,NZD1.00029STN004
Interiors & Accessories,NZD1.00029STN005
Craft & Industry,NZD1.00029TXT005
Craft & Industry,NZD1.00029TXT006
Craft & Industry,NZD1.00029TXT009
Craft & Industry,NZD1.00029TXT010
Food Processing & Consumption,NZD1.00032CER001
Food Processing & Consumption,NZD1.00032CER002
Food Processing & Consumption,NZD1.00032CER003
Food Processing & Consumption,NZD1.00032CER015
Personal Artefacts & Clothing,NZD1.00032CER017
Food Processing & Consumption,NZD1.00032CER030
Food Processing & Consumption,NZD1.00032CER032
Food Processing & Consumption,NZD1.00032CER034
Food Processing & Consumption,NZD1.00032CER035
Food Processing & Consumption,NZD1.00032CER038
Food Processing & Consumption,NZD1.00032CER039
Personal Artefacts & Clothing,NZD1.00032LEE004
Distribution & Transport,NZD1.00032MTL001-gw
Food Processing & Consumption,NZD1.00032MTL004
Distribution & Transport,NZD1.00032MTL006
Distribution & Transport,NZD1.00032MTL011
Food Processing & Consumption,NZD1.00033CER001
Food Processing & Consumption,NZD1.00033CER003
